state,state_abbr,county,GEOID,county_fips3,birdcast_url
Connecticut,CT,Fairfield,09001,001,https://dashboard.birdcast.info/region/US-CT-001
Connecticut,CT,New Haven,09009,009,https://dashboard.birdcast.info/region/US-CT-009
Delaware,DE,Kent,10001,001,https://dashboard.birdcast.info/region/US-DE-001
Delaware,DE,New Castle,10003,003,https://dashboard.birdcast.info/region/US-DE-003
Delaware,DE,Sussex,10005,005,https://dashboard.birdcast.info/region/US-DE-005
District of Columbia,DC,District of Columbia,11001,001,https://dashboard.birdcast.info/region/US-DC-001
Florida,FL,Alachua,12001,001,https://dashboard.birdcast.info/region/US-FL-001
Florida,FL,Baker,12003,003,https://dashboard.birdcast.info/region/US-FL-003
Florida,FL,Bradford,12007,007,https://dashboard.birdcast.info/region/US-FL-007
Florida,FL,Brevard,12009,009,https://dashboard.birdcast.info/region/US-FL-009
Florida,FL,Broward,12011,011,https://dashboard.birdcast.info/region/US-FL-011
Florida,FL,Clay,12019,019,https://dashboard.birdcast.info/region/US-FL-019
Florida,FL,Collier,12021,021,https://dashboard.birdcast.info/region/US-FL-021
Florida,FL,Columbia,12023,023,https://dashboard.birdcast.info/region/US-FL-023
Florida,FL,DeSoto,12027,027,https://dashboard.birdcast.info/region/US-FL-027
Florida,FL,Duval,12031,031,https://dashboard.birdcast.info/region/US-FL-031
Florida,FL,Flagler,12035,035,https://dashboard.birdcast.info/region/US-FL-035
Florida,FL,Glades,12043,043,https://dashboard.birdcast.info/region/US-FL-043
Florida,FL,Hardee,12049,049,https://dashboard.birdcast.info/region/US-FL-049
Florida,FL,Hendry,12051,051,https://dashboard.birdcast.info/region/US-FL-051
Florida,FL,Highlands,12055,055,https://dashboard.birdcast.info/region/US-FL-055
Florida,FL,Indian River,12061,061,https://dashboard.birdcast.info/region/US-FL-061
Florida,FL,Lake,12069,069,https://dashboard.birdcast.info/region/US-FL-069
Florida,FL,Marion,12083,083,https://dashboard.birdcast.info/region/US-FL-083
Florida,FL,Martin,12085,085,https://dashboard.birdcast.info/region/US-FL-085
Florida,FL,Miami-Dade,12086,086,https://dashboard.birdcast.info/region/US-FL-086
Florida,FL,Monroe,12087,087,https://dashboard.birdcast.info/region/US-FL-087
Florida,FL,Nassau,12089,089,https://dashboard.birdcast.info/region/US-FL-089
Florida,FL,Okeechobee,12093,093,https://dashboard.birdcast.info/region/US-FL-093
Florida,FL,Orange,12095,095,https://dashboard.birdcast.info/region/US-FL-095
Florida,FL,Osceola,12097,097,https://dashboard.birdcast.info/region/US-FL-097
Florida,FL,Palm Beach,12099,099,https://dashboard.birdcast.info/region/US-FL-099
Florida,FL,Polk,12105,105,https://dashboard.birdcast.info/region/US-FL-105
Florida,FL,Putnam,12107,107,https://dashboard.birdcast.info/region/US-FL-107
Florida,FL,Seminole,12117,117,https://dashboard.birdcast.info/region/US-FL-117
Florida,FL,St. Johns,12109,109,https://dashboard.birdcast.info/region/US-FL-109
Florida,FL,St. Lucie,12111,111,https://dashboard.birdcast.info/region/US-FL-111
Florida,FL,Sumter,12119,119,https://dashboard.birdcast.info/region/US-FL-119
Florida,FL,Union,12125,125,https://dashboard.birdcast.info/region/US-FL-125
Florida,FL,Volusia,12127,127,https://dashboard.birdcast.info/region/US-FL-127
Georgia,GA,Brantley,13025,025,https://dashboard.birdcast.info/region/US-GA-025
Georgia,GA,Bryan,13029,029,https://dashboard.birdcast.info/region/US-GA-029
Georgia,GA,Camden,13039,039,https://dashboard.birdcast.info/region/US-GA-039
Georgia,GA,Charlton,13049,049,https://dashboard.birdcast.info/region/US-GA-049
Georgia,GA,Chatham,13051,051,https://dashboard.birdcast.info/region/US-GA-051
Georgia,GA,Clinch,13065,065,https://dashboard.birdcast.info/region/US-GA-065
Georgia,GA,Effingham,13103,103,https://dashboard.birdcast.info/region/US-GA-103
Georgia,GA,Glynn,13127,127,https://dashboard.birdcast.info/region/US-GA-127
Georgia,GA,Liberty,13179,179,https://dashboard.birdcast.info/region/US-GA-179
Georgia,GA,Long,13183,183,https://dashboard.birdcast.info/region/US-GA-183
Georgia,GA,McIntosh,13191,191,https://dashboard.birdcast.info/region/US-GA-191
Georgia,GA,Pierce,13229,229,https://dashboard.birdcast.info/region/US-GA-229
Georgia,GA,Ware,13299,299,https://dashboard.birdcast.info/region/US-GA-299
Georgia,GA,Wayne,13305,305,https://dashboard.birdcast.info/region/US-GA-305
Maryland,MD,Anne Arundel,24003,003,https://dashboard.birdcast.info/region/US-MD-003
Maryland,MD,Baltimore,24005,005,https://dashboard.birdcast.info/region/US-MD-005
Maryland,MD,Baltimore,24510,510,https://dashboard.birdcast.info/region/US-MD-510
Maryland,MD,Calvert,24009,009,https://dashboard.birdcast.info/region/US-MD-009
Maryland,MD,Caroline,24011,011,https://dashboard.birdcast.info/region/US-MD-011
Maryland,MD,Carroll,24013,013,https://dashboard.birdcast.info/region/US-MD-013
Maryland,MD,Cecil,24015,015,https://dashboard.birdcast.info/region/US-MD-015
Maryland,MD,Charles,24017,017,https://dashboard.birdcast.info/region/US-MD-017
Maryland,MD,Dorchester,24019,019,https://dashboard.birdcast.info/region/US-MD-019
Maryland,MD,Frederick,24021,021,https://dashboard.birdcast.info/region/US-MD-021
Maryland,MD,Harford,24025,025,https://dashboard.birdcast.info/region/US-MD-025
Maryland,MD,Howard,24027,027,https://dashboard.birdcast.info/region/US-MD-027
Maryland,MD,Kent,24029,029,https://dashboard.birdcast.info/region/US-MD-029
Maryland,MD,Montgomery,24031,031,https://dashboard.birdcast.info/region/US-MD-031
Maryland,MD,Prince George's,24033,033,https://dashboard.birdcast.info/region/US-MD-033
Maryland,MD,Queen Anne's,24035,035,https://dashboard.birdcast.info/region/US-MD-035
Maryland,MD,St. Mary's,24037,037,https://dashboard.birdcast.info/region/US-MD-037
Maryland,MD,Talbot,24041,041,https://dashboard.birdcast.info/region/US-MD-041
Maryland,MD,Washington,24043,043,https://dashboard.birdcast.info/region/US-MD-043
New Jersey,NJ,Atlantic,34001,001,https://dashboard.birdcast.info/region/US-NJ-001
New Jersey,NJ,Bergen,34003,003,https://dashboard.birdcast.info/region/US-NJ-003
New Jersey,NJ,Burlington,34005,005,https://dashboard.birdcast.info/region/US-NJ-005
