state,state_abbr,county,GEOID,county_fips3,birdcast_url
Arkansas,AR,Arkansas,05001,001,https://dashboard.birdcast.info/region/US-AR-001
Arkansas,AR,Ashley,05003,003,https://dashboard.birdcast.info/region/US-AR-003
Arkansas,AR,Bradley,05011,011,https://dashboard.birdcast.info/region/US-AR-011
Arkansas,AR,Chicot,05017,017,https://dashboard.birdcast.info/region/US-AR-017
Arkansas,AR,Clay,05021,021,https://dashboard.birdcast.info/region/US-AR-021
Arkansas,AR,Cleveland,05025,025,https://dashboard.birdcast.info/region/US-AR-025
Arkansas,AR,Craighead,05031,031,https://dashboard.birdcast.info/region/US-AR-031
Arkansas,AR,Crittenden,05035,035,https://dashboard.birdcast.info/region/US-AR-035
Arkansas,AR,Cross,05037,037,https://dashboard.birdcast.info/region/US-AR-037
Arkansas,AR,Desha,05041,041,https://dashboard.birdcast.info/region/US-AR-041
Arkansas,AR,Drew,05043,043,https://dashboard.birdcast.info/region/US-AR-043
Arkansas,AR,Greene,05055,055,https://dashboard.birdcast.info/region/US-AR-055
Arkansas,AR,Jackson,05067,067,https://dashboard.birdcast.info/region/US-AR-067
Arkansas,AR,Jefferson,05069,069,https://dashboard.birdcast.info/region/US-AR-069
Arkansas,AR,Lawrence,05075,075,https://dashboard.birdcast.info/region/US-AR-075
Arkansas,AR,Lee,05077,077,https://dashboard.birdcast.info/region/US-AR-077
Arkansas,AR,Lincoln,05079,079,https://dashboard.birdcast.info/region/US-AR-079
Arkansas,AR,Mississippi,05093,093,https://dashboard.birdcast.info/region/US-AR-093
Arkansas,AR,Monroe,05095,095,https://dashboard.birdcast.info/region/US-AR-095
Arkansas,AR,Phillips,05107,107,https://dashboard.birdcast.info/region/US-AR-107
Arkansas,AR,Poinsett,05111,111,https://dashboard.birdcast.info/region/US-AR-111
Arkansas,AR,Prairie,05117,117,https://dashboard.birdcast.info/region/US-AR-117
Arkansas,AR,Randolph,05121,121,https://dashboard.birdcast.info/region/US-AR-121
Arkansas,AR,St. Francis,05123,123,https://dashboard.birdcast.info/region/US-AR-123
Arkansas,AR,Woodruff,05147,147,https://dashboard.birdcast.info/region/US-AR-147
Illinois,IL,Adams,17001,001,https://dashboard.birdcast.info/region/US-IL-001
Illinois,IL,Alexander,17003,003,https://dashboard.birdcast.info/region/US-IL-003
Illinois,IL,Bond,17005,005,https://dashboard.birdcast.info/region/US-IL-005
Illinois,IL,Brown,17009,009,https://dashboard.birdcast.info/region/US-IL-009
Illinois,IL,Bureau,17011,011,https://dashboard.birdcast.info/region/US-IL-011
Illinois,IL,Calhoun,17013,013,https://dashboard.birdcast.info/region/US-IL-013
Illinois,IL,Carroll,17015,015,https://dashboard.birdcast.info/region/US-IL-015
Illinois,IL,Cass,17017,017,https://dashboard.birdcast.info/region/US-IL-017
Illinois,IL,Christian,17021,021,https://dashboard.birdcast.info/region/US-IL-021
Illinois,IL,Clinton,17027,027,https://dashboard.birdcast.info/region/US-IL-027
Illinois,IL,Fayette,17051,051,https://dashboard.birdcast.info/region/US-IL-051
Illinois,IL,Franklin,17055,055,https://dashboard.birdcast.info/region/US-IL-055
Illinois,IL,Fulton,17057,057,https://dashboard.birdcast.info/region/US-IL-057
Illinois,IL,Gallatin,17059,059,https://dashboard.birdcast.info/region/US-IL-059
Illinois,IL,Greene,17061,061,https://dashboard.birdcast.info/region/US-IL-061
Illinois,IL,Hamilton,17065,065,https://dashboard.birdcast.info/region/US-IL-065
Illinois,IL,Hancock,17067,067,https://dashboard.birdcast.info/region/US-IL-067
Illinois,IL,Hardin,17069,069,https://dashboard.birdcast.info/region/US-IL-069
Illinois,IL,Henderson,17071,071,https://dashboard.birdcast.info/region/US-IL-071
Illinois,IL,Henry,17073,073,https://dashboard.birdcast.info/region/US-IL-073
Illinois,IL,Jackson,17077,077,https://dashboard.birdcast.info/region/US-IL-077
Illinois,IL,Jefferson,17081,081,https://dashboard.birdcast.info/region/US-IL-081
Illinois,IL,Jersey,17083,083,https://dashboard.birdcast.info/region/US-IL-083
Illinois,IL,Jo Daviess,17085,085,https://dashboard.birdcast.info/region/US-IL-085
Illinois,IL,Johnson,17087,087,https://dashboard.birdcast.info/region/US-IL-087
Illinois,IL,Knox,17095,095,https://dashboard.birdcast.info/region/US-IL-095
Illinois,IL,Lee,17103,103,https://dashboard.birdcast.info/region/US-IL-103
Illinois,IL,Logan,17107,107,https://dashboard.birdcast.info/region/US-IL-107
Illinois,IL,Macoupin,17117,117,https://dashboard.birdcast.info/region/US-IL-117
Illinois,IL,Madison,17119,119,https://dashboard.birdcast.info/region/US-IL-119
Illinois,IL,Marion,17121,121,https://dashboard.birdcast.info/region/US-IL-121
Illinois,IL,Marshall,17123,123,https://dashboard.birdcast.info/region/US-IL-123
Illinois,IL,Mason,17125,125,https://dashboard.birdcast.info/region/US-IL-125
Illinois,IL,Massac,17127,127,https://dashboard.birdcast.info/region/US-IL-127
Illinois,IL,McDonough,17109,109,https://dashboard.birdcast.info/region/US-IL-109
Illinois,IL,Menard,17129,129,https://dashboard.birdcast.info/region/US-IL-129
Illinois,IL,Mercer,17131,131,https://dashboard.birdcast.info/region/US-IL-131
Illinois,IL,Monroe,17133,133,https://dashboard.birdcast.info/region/US-IL-133
Illinois,IL,Montgomery,17135,135,https://dashboard.birdcast.info/region/US-IL-135
Illinois,IL,Morgan,17137,137,https://dashboard.birdcast.info/region/US-IL-137
Illinois,IL,Ogle,17141,141,https://dashboard.birdcast.info/region/US-IL-141
Illinois,IL,Peoria,17143,143,https://dashboard.birdcast.info/region/US-IL-143
Illinois,IL,Perry,17145,145,https://dashboard.birdcast.info/region/US-IL-145
Illinois,IL,Pike,17149,149,https://dashboard.birdcast.info/region/US-IL-149
Illinois,IL,Pope,17151,151,https://dashboard.birdcast.info/region/US-IL-151
Illinois,IL,Pulaski,17153,153,https://dashboard.birdcast.info/region/US-IL-153
Illinois,IL,Putnam,17155,155,https://dashboard.birdcast.info/region/US-IL-155
Illinois,IL,Randolph,17157,157,https://dashboard.birdcast.info/region/US-IL-157
Illinois,IL,Rock Island,17161,161,https://dashboard.birdcast.info/region/US-IL-161
Illinois,IL,Saline,17165,165,https://dashboard.birdcast.info/region/US-IL-165
Illinois,IL,Sangamon,17167,167,https://dashboard.birdcast.info/region/US-IL-167
Illinois,IL,Schuyler,17169,169,https://dashboard.birdcast.info/region/US-IL-169
Illinois,IL,Scott,17171,171,https://dashboard.birdcast.info/region/US-IL-171
Illinois,IL,St. Clair,17163,163,https://dashboard.birdcast.info/region/US-IL-163
Illinois,IL,Stark,17175,175,https://dashboard.birdcast.info/region/US-IL-175
Illinois,IL,Stephenson,17177,177,https://dashboard.birdcast.info/region/US-IL-177
Illinois,IL,Tazewell,17179,179,https://dashboard.birdcast.info/region/US-IL-179
Illinois,IL,Union,17181,181,https://dashboard.birdcast.info/region/US-IL-181
Illinois,IL,Warren,17187,187,https://dashboard.birdcast.info/region/US-IL-187
Illinois,IL,Washington,17189,189,https://dashboard.birdcast.info/region/US-IL-189
Illinois,IL,Wayne,17191,191,https://dashboard.birdcast.info/region/US-IL-191
Illinois,IL,Whiteside,17195,195,https://dashboard.birdcast.info/region/US-IL-195
Illinois,IL,Williamson,17199,199,https://dashboard.birdcast.info/region/US-IL-199
Illinois,IL,Woodford,17203,203,https://dashboard.birdcast.info/region/US-IL-203
Iowa,IA,Allamakee,19005,005,https://dashboard.birdcast.info/region/US-IA-005
Iowa,IA,Benton,19011,011,https://dashboard.birdcast.info/region/US-IA-011
Iowa,IA,Black Hawk,19013,013,https://dashboard.birdcast.info/region/US-IA-013
Iowa,IA,Bremer,19017,017,https://dashboard.birdcast.info/region/US-IA-017
Iowa,IA,Buchanan,19019,019,https://dashboard.birdcast.info/region/US-IA-019
Iowa,IA,Cedar,19031,031,https://dashboard.birdcast.info/region/US-IA-031
Iowa,IA,Chickasaw,19037,037,https://dashboard.birdcast.info/region/US-IA-037
Iowa,IA,Clayton,19043,043,https://dashboard.birdcast.info/region/US-IA-043
Iowa,IA,Clinton,19045,045,https://dashboard.birdcast.info/region/US-IA-045
Iowa,IA,Delaware,19055,055,https://dashboard.birdcast.info/region/US-IA-055
Iowa,IA,Des Moines,19057,057,https://dashboard.birdcast.info/region/US-IA-057
Iowa,IA,Dubuque,19061,061,https://dashboard.birdcast.info/region/US-IA-061
Iowa,IA,Fayette,19065,065,https://dashboard.birdcast.info/region/US-IA-065
Iowa,IA,Floyd,19067,067,https://dashboard.birdcast.info/region/US-IA-067
Iowa,IA,Henry,19087,087,https://dashboard.birdcast.info/region/US-IA-087
Iowa,IA,Howard,19089,089,https://dashboard.birdcast.info/region/US-IA-089
Iowa,IA,Iowa,19095,095,https://dashboard.birdcast.info/region/US-IA-095
Iowa,IA,Jackson,19097,097,https://dashboard.birdcast.info/region/US-IA-097
Iowa,IA,Jefferson,19101,101,https://dashboard.birdcast.info/region/US-IA-101
Iowa,IA,Johnson,19103,103,https://dashboard.birdcast.info/region/US-IA-103
Iowa,IA,Jones,19105,105,https://dashboard.birdcast.info/region/US-IA-105
Iowa,IA,Lee,19111,111,https://dashboard.birdcast.info/region/US-IA-111
Iowa,IA,Linn,19113,113,https://dashboard.birdcast.info/region/US-IA-113
Iowa,IA,Louisa,19115,115,https://dashboard.birdcast.info/region/US-IA-115
Iowa,IA,Mitchell,19131,131,https://dashboard.birdcast.info/region/US-IA-131
Iowa,IA,Muscatine,19139,139,https://dashboard.birdcast.info/region/US-IA-139
Iowa,IA,Scott,19163,163,https://dashboard.birdcast.info/region/US-IA-163
Iowa,IA,Van Buren,19177,177,https://dashboard.birdcast.info/region/US-IA-177
Iowa,IA,Washington,19183,183,https://dashboard.birdcast.info/region/US-IA-183
Iowa,IA,Winneshiek,19191,191,https://dashboard.birdcast.info/region/US-IA-191
Kentucky,KY,Ballard,21007,007,https://dashboard.birdcast.info/region/US-KY-007
Kentucky,KY,Caldwell,21033,033,https://dashboard.birdcast.info/region/US-KY-033
Kentucky,KY,Calloway,21035,035,https://dashboard.birdcast.info/region/US-KY-035
Kentucky,KY,Carlisle,21039,039,https://dashboard.birdcast.info/region/US-KY-039
Kentucky,KY,Crittenden,21055,055,https://dashboard.birdcast.info/region/US-KY-055
Kentucky,KY,Fulton,21075,075,https://dashboard.birdcast.info/region/US-KY-075
Kentucky,KY,Graves,21083,083,https://dashboard.birdcast.info/region/US-KY-083
Kentucky,KY,Hickman,21105,105,https://dashboard.birdcast.info/region/US-KY-105
Kentucky,KY,Livingston,21139,139,https://dashboard.birdcast.info/region/US-KY-139
Kentucky,KY,Lyon,21143,143,https://dashboard.birdcast.info/region/US-KY-143
Kentucky,KY,Marshall,21157,157,https://dashboard.birdcast.info/region/US-KY-157
Kentucky,KY,McCracken,21145,145,https://dashboard.birdcast.info/region/US-KY-145
