Date,source_sheet,Bird,Feeder Visits
2025-09-16,"Essex Fells, NJ 07021 Daily Sum",,0.0
2025-09-17,"Essex Fells, NJ 07021 Daily Sum",,0.0
2025-09-18,"Essex Fells, NJ 07021 Daily Sum",,0.0
2025-09-19,"Essex Fells, NJ 07021 Daily Sum",,0.0
2025-09-20,"Essex Fells, NJ 07021 Daily Sum",,0.0
2025-09-21,"Essex Fells, NJ 07021 Daily Sum",,0.0
2025-09-22,"Essex Fells, NJ 07021 Daily Sum",,0.0
2025-09-23,"Essex Fells, NJ 07021 Daily Sum",,0.0
2025-09-24,"Essex Fells, NJ 07021 Daily Sum",Black-capped Chickadee,15.0
2025-09-25,"Essex Fells, NJ 07021 Daily Sum",,0.0
2025-09-26,"Essex Fells, NJ 07021 Daily Sum",Black-capped Chickadee,5.0
2025-09-26,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,21.0
2025-09-26,"Essex Fells, NJ 07021 Daily Sum",Carolina Wren,2.0
2025-09-27,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,15.0
2025-09-28,"Essex Fells, NJ 07021 Daily Sum",Black-capped Chickadee,2.0
2025-09-28,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,15.0
2025-09-29,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,10.0
2025-09-30,"Essex Fells, NJ 07021 Daily Sum",Black-capped Chickadee,12.0
2025-09-30,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,5.0
2025-09-30,"Essex Fells, NJ 07021 Daily Sum",Tufted Titmouse,3.0
2025-10-01,"Essex Fells, NJ 07021 Daily Sum",Black-capped Chickadee,2.0
2025-10-01,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,18.0
2025-10-02,"Essex Fells, NJ 07021 Daily Sum",Black-capped Chickadee,4.0
2025-10-02,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,23.0
2025-10-02,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,13.0
2025-10-03,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,20.0
2025-10-03,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,4.0
2025-10-04,"Essex Fells, NJ 07021 Daily Sum",Black-capped Chickadee,2.0
2025-10-04,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,24.0
2025-10-04,"Essex Fells, NJ 07021 Daily Sum",Downy Woodpecker,1.0
2025-10-05,"Essex Fells, NJ 07021 Daily Sum",Black-capped Chickadee,5.0
2025-10-05,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,23.0
2025-10-06,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,28.0
2025-10-07,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,24.0
2025-10-07,"Essex Fells, NJ 07021 Daily Sum",Carolina Wren,1.0
2025-10-08,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,26.0
2025-10-09,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,40.0
2025-10-10,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,38.0
2025-10-10,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,1.0
2025-10-11,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,55.0
2025-10-11,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,3.0
2025-10-12,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,57.0
2025-10-12,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,6.0
2025-10-12,"Essex Fells, NJ 07021 Daily Sum",Black-capped Chickadee,12.0
2025-10-12,"Essex Fells, NJ 07021 Daily Sum",Red-bellied Woodpecker,1.0
2025-10-13,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,55.0
2025-10-13,"Essex Fells, NJ 07021 Daily Sum",Black-capped Chickadee,23.0
2025-10-13,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,7.0
2025-10-14,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,29.0
2025-10-14,"Essex Fells, NJ 07021 Daily Sum",Black-capped Chickadee,2.0
2025-10-14,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,2.0
2025-10-15,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,38.0
2025-10-15,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,2.0
2025-10-15,"Essex Fells, NJ 07021 Daily Sum",Downy Woodpecker,4.0
2025-10-16,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,26.0
2025-10-16,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,9.0
2025-10-17,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,19.0
2025-10-17,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,10.0
2025-10-18,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,44.0
2025-10-18,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,6.0
2025-10-19,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,37.0
2025-10-19,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,11.0
2025-10-20,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,31.0
2025-10-20,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,6.0
2025-10-21,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,45.0
2025-10-21,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,24.0
2025-10-22,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,37.0
2025-10-22,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,18.0
2025-10-23,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,32.0
2025-10-23,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,36.0
2025-10-23,"Essex Fells, NJ 07021 Daily Sum",Black-capped Chickadee,6.0
2025-10-23,"Essex Fells, NJ 07021 Daily Sum",Tufted Titmouse,5.0
2025-10-24,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,35.0
2025-10-24,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,15.0
2025-10-25,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,56.0
2025-10-25,"Essex Fells, NJ 07021 Daily Sum",Black-capped Chickadee,25.0
2025-10-25,"Essex Fells, NJ 07021 Daily Sum",Tufted Titmouse,101.0
2025-10-25,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,49.0
2025-10-25,"Essex Fells, NJ 07021 Daily Sum",Downy Woodpecker,2.0
2025-10-25,"Essex Fells, NJ 07021 Daily Sum",White-breasted Nuthatch,8.0
2025-10-26,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,10.0
2025-10-26,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,7.0
2025-10-26,"Essex Fells, NJ 07021 Daily Sum",Tufted Titmouse,7.0
2025-10-26,"Essex Fells, NJ 07021 Daily Sum",Downy Woodpecker,1.0
2025-10-26,"Essex Fells, NJ 07021 Daily Sum",White-breasted Nuthatch,1.0
2025-10-27,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,4.0
2025-10-27,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,1.0
2025-10-27,"Essex Fells, NJ 07021 Daily Sum",Black-capped Chickadee,2.0
2025-10-28,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,2.0
2025-10-29,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,1.0
2025-10-29,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,2.0
2025-10-30,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,2.0
2025-10-31,"Essex Fells, NJ 07021 Daily Sum",,
2025-11-01,"Essex Fells, NJ 07021 Daily Sum",Tufted Titmouse,1.0
2025-11-02,"Essex Fells, NJ 07021 Daily Sum",Black-capped Chickadee,2.0
2025-11-03,"Essex Fells, NJ 07021 Daily Sum",Black-capped Chickadee,2.0
2025-11-03,"Essex Fells, NJ 07021 Daily Sum",Tufted Titmouse,1.0
2025-11-04,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,1.0
2025-11-05,"Essex Fells, NJ 07021 Daily Sum",,
2025-11-06,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,53.0
2025-11-06,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,25.0
2025-11-07,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,27.0
2025-11-07,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,24.0
2025-11-07,"Essex Fells, NJ 07021 Daily Sum",Red-bellied Woodpecker,2.0
2025-11-08,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,83.0
2025-11-08,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,27.0
2025-11-08,"Essex Fells, NJ 07021 Daily Sum",Red-bellied Woodpecker,1.0
2025-11-08,"Essex Fells, NJ 07021 Daily Sum",White-breasted Nuthatch,22.0
2025-11-09,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,23.0
2025-11-09,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,43.0
2025-11-09,"Essex Fells, NJ 07021 Daily Sum",Downy Woodpecker,2.0
2025-11-09,"Essex Fells, NJ 07021 Daily Sum",Red-bellied Woodpecker,1.0
2025-11-09,"Essex Fells, NJ 07021 Daily Sum",White-breasted Nuthatch,29.0
2025-11-10,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,56.0
2025-11-10,"Essex Fells, NJ 07021 Daily Sum",Tufted Titmouse,53.0
2025-11-10,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,31.0
2025-11-10,"Essex Fells, NJ 07021 Daily Sum",White-breasted Nuthatch,13.0
2025-11-10,"Essex Fells, NJ 07021 Daily Sum",Dark-eyed Junco,1.0
2025-11-10,"Essex Fells, NJ 07021 Daily Sum",House Finch,8.0
2025-11-11,"Essex Fells, NJ 07021 Daily Sum",Black-capped Chickadee,48.0
2025-11-11,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,36.0
2025-11-11,"Essex Fells, NJ 07021 Daily Sum",Tufted Titmouse,74.0
2025-11-11,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,88.0
2025-11-11,"Essex Fells, NJ 07021 Daily Sum",Downy Woodpecker,2.0
2025-11-11,"Essex Fells, NJ 07021 Daily Sum",White-breasted Nuthatch,41.0
2025-11-11,"Essex Fells, NJ 07021 Daily Sum",Dark-eyed Junco,25.0
2025-11-11,"Essex Fells, NJ 07021 Daily Sum",House Finch,20.0
2025-11-12,"Essex Fells, NJ 07021 Daily Sum",Black-capped Chickadee,16.0
