date,total,richness,shannon_H
2024-07-22,135,12,1.8249270898430032
2024-07-23,1261,14,1.6341761143115008
2024-07-24,1177,20,0.912473389132324
2024-07-25,3119,19,1.398041430868976
2024-07-26,1405,20,1.2050964446967258
2024-07-27,320,10,0.9612623903612818
2024-07-28,1436,11,1.2494689508256775
2024-07-29,833,15,1.795868934028548
2024-07-30,873,17,1.3609058557086238
2024-07-31,1476,13,1.4714994264600998
2024-08-01,580,17,1.7617514987111338
2024-08-02,92,8,1.344391407712787
2024-08-03,966,16,1.6849673439989379
2024-08-04,122,5,1.244527763433572
2024-08-05,14,2,0.5195798391305153
2024-08-07,973,14,1.5747415770489852
2024-08-08,903,21,1.601639795927923
2024-08-09,562,15,1.7611417235685058
2024-08-10,1451,23,1.8787107955043219
2024-08-11,510,15,1.4544958084424104
2024-08-12,966,19,1.7178191151485427
2024-08-13,692,16,1.614766290019156
2024-08-14,508,16,1.2502110383660172
2024-08-15,296,12,1.5611654387535867
2024-08-16,404,15,1.0738245731100946
2024-08-17,325,16,1.9305096714085728
2024-08-18,463,12,1.3567692362554387
2024-08-19,429,13,1.8935769794919288
2024-08-20,598,23,2.054523241296709
2024-08-21,637,11,1.5751449284047583
2024-08-22,261,11,1.7704626238368024
2024-08-23,766,17,1.9341747082545548
2024-08-24,553,17,1.945169236627564
2024-08-25,1176,16,1.9010534454601824
2024-08-26,1303,21,1.4656864138525938
2024-08-27,510,15,1.9957661572383398
2024-08-28,485,14,1.4514575374921617
2024-08-29,499,16,1.628169919448915
2024-08-30,796,18,1.5752093829590441
2024-08-31,632,13,1.7125497875813176
2024-09-01,691,11,1.4794264928928695
2024-09-02,309,12,1.440139938019442
2024-09-03,715,10,1.18413649947105
2024-09-04,1786,20,1.9265400473467438
2024-09-05,1789,25,2.2876915616750737
2024-09-06,1077,22,2.1980088781244644
2024-09-07,792,24,2.532403690918728
2024-09-08,826,21,2.3868442818473836
2024-09-09,201,9,1.7838876474533674
2024-09-10,625,17,2.059561965219477
2024-09-11,765,17,2.4821449413423435
2024-09-12,1350,31,2.4394282974501893
2024-09-13,1232,16,2.005730118091198
2024-09-14,4610,29,2.215741206773442
2024-09-15,2896,33,2.5119955196385435
2024-09-16,4008,26,2.4943883995956355
2024-09-17,4133,32,2.4071100138747386
2024-09-18,2676,29,2.275378102316949
2024-09-19,1986,30,2.2647017971755186
2024-09-20,2857,33,2.4553393779713963
2024-09-21,2413,35,2.215074326242192
2024-09-22,4681,32,1.7837893039989927
2024-09-23,3862,26,2.3514474568791477
2024-09-24,2984,31,2.2979093707472242
2024-09-25,1880,21,1.94788251780309
2024-09-26,1683,24,2.331457538463803
2024-09-27,3179,30,1.8954908438035063
2024-09-28,3245,30,1.9997447308575391
2024-09-29,2290,25,1.7318390543760036
2024-09-30,2121,26,1.6332568414109148
2024-10-01,1096,22,1.5729938514673287
2024-10-02,2708,23,1.3123605210232525
2024-10-03,1527,20,1.235066952193296
2024-10-04,2361,25,1.7015351124780704
2024-10-05,1279,18,1.4794715542399541
2024-10-06,1282,20,1.5013366541489075
2024-10-07,2219,30,1.913002731434169
2024-10-08,1936,23,1.741898024036036
2024-10-09,986,20,0.9027470689903456
2024-10-10,2737,21,1.5287043045932092
2024-10-11,2075,19,0.8002081784190764
2024-10-12,2354,27,1.485646781117151
2024-10-13,2546,18,1.1219514843741714
2024-10-14,2981,22,1.4082786371958993
2024-10-15,1579,22,1.7423986684689214
2024-10-16,2679,22,1.3166170216442536
2024-10-17,2690,21,1.2116425019106016
2024-10-18,1515,18,1.5452151685652404
2024-10-19,2790,26,1.8080575169449058
2024-10-20,2808,49,2.284535865615412
2024-10-21,1532,42,2.355176127458851
2024-10-22,1087,44,2.5607471885791524
2024-10-23,1854,46,2.4735049128220514
