location,lat,lon,requested_dt_utc,observed_dt_utc,observed_dt_local,timezone,timezone_offset_seconds,sunrise_utc,sunrise_local,sunset_utc,sunset_local,temp,feels_like,pressure,humidity,dew_point,clouds,uvi,visibility,wind_speed,wind_gust,wind_deg,weather_id,weather_main,weather_description,rain_1h_mm,snow_1h_mm
"Jacksonville, FL",30.3501,-81.6035,2025-10-01T00:00:00+00:00,2025-10-01T00:00:00+00:00,2025-09-30T20:00:00-04:00,America/New_York,-14400,2025-09-30T11:19:18+00:00,2025-09-30T07:19:18-04:00,2025-09-30T23:13:10+00:00,2025-09-30T19:13:10-04:00,25.13,25.81,1011,81,21.64,40,,10000,8.23,12.35,20,802,Clouds,scattered clouds,,
"Jacksonville, FL",30.3501,-81.6035,2025-10-01T01:00:00+00:00,2025-10-01T01:00:00+00:00,2025-09-30T21:00:00-04:00,America/New_York,-14400,2025-09-30T11:19:18+00:00,2025-09-30T07:19:18-04:00,2025-09-30T23:13:10+00:00,2025-09-30T19:13:10-04:00,24.54,25.22,1011,83,21.46,40,,10000,5.66,,10,802,Clouds,scattered clouds,,
"Jacksonville, FL",30.3501,-81.6035,2025-10-01T02:00:00+00:00,2025-10-01T02:00:00+00:00,2025-09-30T22:00:00-04:00,America/New_York,-14400,2025-09-30T11:19:18+00:00,2025-09-30T07:19:18-04:00,2025-09-30T23:13:10+00:00,2025-09-30T19:13:10-04:00,24.35,25.03,1012,84,21.47,100,,10000,7.2,,360,804,Clouds,overcast clouds,,
"Jacksonville, FL",30.3501,-81.6035,2025-10-01T03:00:00+00:00,2025-10-01T03:00:00+00:00,2025-09-30T23:00:00-04:00,America/New_York,-14400,2025-09-30T11:19:18+00:00,2025-09-30T07:19:18-04:00,2025-09-30T23:13:10+00:00,2025-09-30T19:13:10-04:00,23.84,24.5,1012,85,21.17,75,,10000,6.69,,10,803,Clouds,broken clouds,,
"Jacksonville, FL",30.3501,-81.6035,2025-10-01T04:00:00+00:00,2025-10-01T04:00:00+00:00,2025-10-01T00:00:00-04:00,America/New_York,-14400,2025-10-01T11:19:53+00:00,2025-10-01T07:19:53-04:00,2025-10-01T23:11:55+00:00,2025-10-01T19:11:55-04:00,23.31,23.94,1012,86,20.84,20,,10000,6.69,,10,801,Clouds,few clouds,,
"Jacksonville, FL",30.3501,-81.6035,2025-10-01T05:00:00+00:00,2025-10-01T05:00:00+00:00,2025-10-01T01:00:00-04:00,America/New_York,-14400,2025-10-01T11:19:53+00:00,2025-10-01T07:19:53-04:00,2025-10-01T23:11:55+00:00,2025-10-01T19:11:55-04:00,22.77,23.37,1011,87,20.49,75,,10000,6.17,,10,803,Clouds,broken clouds,,
"Jacksonville, FL",30.3501,-81.6035,2025-10-01T06:00:00+00:00,2025-10-01T06:00:00+00:00,2025-10-01T02:00:00-04:00,America/New_York,-14400,2025-10-01T11:19:53+00:00,2025-10-01T07:19:53-04:00,2025-10-01T23:11:55+00:00,2025-10-01T19:11:55-04:00,22.21,22.81,1011,89,20.31,40,,10000,5.66,,360,802,Clouds,scattered clouds,,
"Jacksonville, FL",30.3501,-81.6035,2025-10-01T07:00:00+00:00,2025-10-01T07:00:00+00:00,2025-10-01T03:00:00-04:00,America/New_York,-14400,2025-10-01T11:19:53+00:00,2025-10-01T07:19:53-04:00,2025-10-01T23:11:55+00:00,2025-10-01T19:11:55-04:00,21.84,22.43,1011,90,20.13,20,,10000,4.63,,340,801,Clouds,few clouds,,
"Jacksonville, FL",30.3501,-81.6035,2025-10-01T08:00:00+00:00,2025-10-01T08:00:00+00:00,2025-10-01T04:00:00-04:00,America/New_York,-14400,2025-10-01T11:19:53+00:00,2025-10-01T07:19:53-04:00,2025-10-01T23:11:55+00:00,2025-10-01T19:11:55-04:00,21.41,21.96,1011,90,19.7,40,,10000,4.63,,340,802,Clouds,scattered clouds,,
"Jacksonville, FL",30.3501,-81.6035,2025-10-01T09:00:00+00:00,2025-10-01T09:00:00+00:00,2025-10-01T05:00:00-04:00,America/New_York,-14400,2025-10-01T11:19:53+00:00,2025-10-01T07:19:53-04:00,2025-10-01T23:11:55+00:00,2025-10-01T19:11:55-04:00,21.17,21.72,1012,91,19.64,40,,10000,4.63,,340,802,Clouds,scattered clouds,,
"Jacksonville, FL",30.3501,-81.6035,2025-10-01T10:00:00+00:00,2025-10-01T10:00:00+00:00,2025-10-01T06:00:00-04:00,America/New_York,-14400,2025-10-01T11:19:53+00:00,2025-10-01T07:19:53-04:00,2025-10-01T23:11:55+00:00,2025-10-01T19:11:55-04:00,20.9,21.4,1012,90,19.2,0,,10000,6.17,,350,800,Clear,clear sky,,
"Jacksonville, FL",30.3501,-81.6035,2025-10-01T11:00:00+00:00,2025-10-01T11:00:00+00:00,2025-10-01T07:00:00-04:00,America/New_York,-14400,2025-10-01T11:19:53+00:00,2025-10-01T07:19:53-04:00,2025-10-01T23:11:55+00:00,2025-10-01T19:11:55-04:00,20.81,21.3,1013,90,19.11,40,,10000,5.66,,360,802,Clouds,scattered clouds,,
