Date,Bird,Time,LeftPecks,RightPecks,LeftSeed,RightSeed,source_sheet,Notes,CoolDown
2025-09-16,,,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-17,,,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-18,,,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-19,,,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-20,,,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-21,,,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-22,,,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-23,,,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-24,Black-capped Chickadee,08:35:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-24,Black-capped Chickadee,08:40:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-24,Black-capped Chickadee,08:42:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-24,Black-capped Chickadee,08:43:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-24,Black-capped Chickadee,08:45:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-24,Black-capped Chickadee,08:48:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-24,Black-capped Chickadee,10:19:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-24,Black-capped Chickadee,10:22:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-24,Black-capped Chickadee,10:24:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-24,Black-capped Chickadee,10:32:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-24,Black-capped Chickadee,10:35:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-24,Black-capped Chickadee,11:15:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-24,Black-capped Chickadee,11:21:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-24,Black-capped Chickadee,11:23:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-24,Black-capped Chickadee,11:43:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-25,,,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-26,Black-capped Chickadee,09:35:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-26,Black-capped Chickadee,10:50:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-26,Black-capped Chickadee,10:52:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-26,Northern Cardinal,10:53:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-26,Northern Cardinal,10:54:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-26,Carolina Wren,11:37:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-26,Carolina Wren,11:39:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-26,Northern Cardinal,12:05:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-26,Northern Cardinal,12:06:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-26,Northern Cardinal,12:08:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-26,Northern Cardinal,12:09:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-26,Northern Cardinal,12:10:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-26,Black-capped Chickadee,12:21:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-26,Black-capped Chickadee,12:24:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-26,Northern Cardinal,13:36:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-26,Northern Cardinal,13:38:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-26,Northern Cardinal,13:39:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-26,Northern Cardinal,14:29:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-26,Northern Cardinal,14:31:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-26,Northern Cardinal,14:32:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-26,Northern Cardinal,16:16:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-26,Northern Cardinal,16:17:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-26,Northern Cardinal,16:19:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-26,Northern Cardinal,16:20:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-26,Northern Cardinal,16:21:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-26,Northern Cardinal,18:23:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-26,Northern Cardinal,18:25:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-26,Northern Cardinal,18:26:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-27,Northern Cardinal,07:14:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-27,Northern Cardinal,07:15:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-27,Northern Cardinal,07:16:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-27,Northern Cardinal,10:14:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-27,Northern Cardinal,10:15:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-27,Northern Cardinal,10:49:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-27,Northern Cardinal,10:50:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-27,Northern Cardinal,10:52:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-27,Northern Cardinal,14:58:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-27,Northern Cardinal,15:00:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-27,Northern Cardinal,15:01:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-27,Northern Cardinal,15:03:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-27,Northern Cardinal,16:43:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-27,Northern Cardinal,16:45:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-27,Northern Cardinal,16:46:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-28,Northern Cardinal,07:24:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-28,Northern Cardinal,07:25:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-28,Northern Cardinal,07:27:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-28,Northern Cardinal,07:28:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-28,Black-capped Chickadee,10:22:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-28,Northern Cardinal,10:23:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-28,Northern Cardinal,10:24:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-28,Northern Cardinal,10:26:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-28,Black-capped Chickadee,10:33:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-28,Northern Cardinal,12:25:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-28,Northern Cardinal,12:26:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-28,Northern Cardinal,12:28:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-28,Northern Cardinal,12:29:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-28,Northern Cardinal,14:04:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-28,Northern Cardinal,14:05:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-28,Northern Cardinal,15:12:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-28,Northern Cardinal,15:26:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-29,Northern Cardinal,07:36:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-29,Northern Cardinal,07:37:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-29,Northern Cardinal,09:21:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-29,Northern Cardinal,09:24:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
2025-09-29,Northern Cardinal,11:37:00,,,BOSS,BOSS,essex_fells_nj_07021,,1 min
